,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloVel,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
540858,4371211,38.21915,True,119214,1.361197,[-585.5332   228.94823  285.30295],4.871748,32.911877,0.0,0.0,0.4344013,0.0011277077,0.3133501291275025
540877,4371211,40.782948,True,123544,1.1723899,[ 556.1547   -163.87605     8.317849],3.6384668,35.98981,0.0,0.0,1.1481076,0.006561376,0.1021149754524231
540942,4371211,43.97164,True,139549,0.7096243,[313.47977 388.43872 282.82947],5.4076834,37.815945,0.0,0.0,0.74551105,0.002499625,0.09518628716468812
540962,4371211,46.826454,True,140145,1.878255,[-24.17777   65.99527   99.590775],4.381161,41.49299,0.0,0.0,0.9494587,0.0028445872,0.19782376289367676
540990,4371211,45.8177,True,140006,0.8436926,[171.05318  255.80673  125.931366],5.3128467,39.85695,0.0,0.0,0.6447684,0.003132751,0.1308520317077637
541006,4371211,46.55922,True,141891,2.7560387,[-58.680428 357.38397   25.110617],4.0307007,41.172455,0.0,0.0,1.3476709,0.008392677,0.20450382232666017
541017,4371211,44.472153,True,140741,4.024778,[-311.77063    45.540348   12.639325],4.004525,38.838722,0.0,0.0,1.6251409,0.0037621954,0.2476571559906006
541032,4371211,39.32567,True,123627,0.4631,[ 29.236168     0.32518962 -24.049692  ],5.1668515,33.848705,0.0,0.0,0.30906743,0.0010440286,0.14983785152435303
541067,4371211,45.368404,True,141238,2.663034,[-290.30246 -189.11432  -32.79986],4.455328,39.554615,0.0,0.0,1.3553941,0.0030675856,0.19647672176361086
541090,4371211,44.5887,True,137882,2.7145212,[132.8756    16.004723  71.38429 ],5.0737667,38.697666,0.0,0.0,0.81473696,0.0025293652,0.3331776142120362
541125,4371211,45.138107,True,139503,1.8180094,[-146.0216   409.39236  234.42297],4.2970805,39.65118,0.0,0.0,1.1823878,0.007459047,0.15375745296478271
541147,4371211,47.502586,True,140463,2.0696967,[-258.53705    94.9011    -10.632656],4.4019046,42.12344,0.0,0.0,0.97309315,0.0041481964,0.21269254684448244
541160,4371211,34.19356,True,90612,0.8729625,[-66.950264 115.23237  536.78467 ],1.9570581,31.575644,0.0,0.0,0.65712637,0.0037358475,0.13284544944763185
541200,4371211,44.205425,True,132620,0.7797081,[152.10545    31.55257    -2.8763006],4.908782,38.798782,0.0,0.0,0.49631673,0.0015453394,0.1570988893508911
541223,4371211,47.108913,True,142539,1.5740747,[333.34058 167.6577  170.14966],2.2696018,42.486946,0.0,0.0,2.344071,0.008293006,0.06715132594108582
541229,4371211,49.501682,True,142849,1.3819233,[-198.70332   99.40847 -106.08546],3.0138826,44.935947,0.0,0.0,1.543475,0.008374192,0.08953324556350709
541242,4371211,43.613007,True,128542,0.69998276,[-152.64508    74.67241   -40.374126],3.1422176,39.15471,0.0,0.0,1.3080565,0.008025294,0.053513193130493165
541258,4371211,39.444424,True,119061,0.59431463,[-45.62011 225.27206 -91.58256],4.6150765,34.46601,0.0,0.0,0.36217156,0.0011655042,0.16409754753112793
541283,4371211,16.757072,True,46223,0.3684966,[ 23.516394 -86.130615  60.250893],1.0732232,15.314351,0.0,0.0,0.36850217,0.0009967973,0.09999848604202272
541355,4371211,38.351933,True,116606,1.6592618,[ 217.51614  140.34746 -157.309  ],3.8360214,33.514015,0.0,0.0,0.9992498,0.0026484895,0.16605075597763064
541402,4371211,45.49013,True,139853,2.7106826,[483.66174   78.09725   19.113369],4.9278374,39.676964,0.0,0.0,0.8816945,0.0036344803,0.3074401140213013
541426,4371211,41.554832,True,130509,4.009515,[-34.820156 119.99413  -78.736275],4.254451,36.044918,0.0,0.0,1.2516263,0.003836798,0.32034442424774173
541456,4371211,23.436922,True,76731,0.32452348,[ 77.08475  83.78653 321.46942],3.6971674,19.56623,0.0,0.0,0.17316198,0.00036230026,0.1874103546142578
541489,4371211,29.614902,True,89616,0.5763402,[-335.80466 -161.44652   53.13608],3.2695985,25.82423,0.0,0.0,0.5197989,0.0012751307,0.11087753772735597
541545,4371211,25.416864,True,77074,0.6949337,[ 126.87821  -849.44037   -10.965788],2.8823018,22.230103,0.0,0.0,0.3026702,0.0017898141,0.22960095405578615
541578,4371211,46.92784,True,140641,1.0710078,[  30.864014 -138.63242  -152.6965  ],1.9608641,42.634575,0.0,0.0,2.3227463,0.009657473,0.04610954821109772
541590,4371211,34.351223,True,106400,1.4234266,[-251.1551   -545.04254   -30.295004],2.7514791,30.290977,0.0,0.0,1.3024663,0.0062992875,0.10928702354431152
541607,4371211,47.667828,True,141521,1.9342452,[-174.9675    -36.882732  -89.42769 ],3.7768664,42.641148,0.0,0.0,1.244851,0.0049630026,0.1553796648979187
541627,4371211,44.566208,True,140967,1.0243872,[-171.36475  143.92213  290.75763],5.431822,38.306858,0.0,0.0,0.82517815,0.0023499336,0.12414134740829469
541649,4371211,44.308815,True,137960,1.1299838,[ 50.95325 -71.77998  90.62409],4.8908563,38.56167,0.0,0.0,0.85292226,0.0033678568,0.1324837923049927
