,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
574042,4371211,27.07942,True,82731,0.15981191,3.3502688,23.563301,0.0,0.0,0.16475262,0.0010967967
574066,4371211,29.916098,True,87352,0.49642628,2.5322413,26.732746,0.0,0.0,0.64904636,0.0020639184
574077,4371211,27.162834,True,80452,0.49969056,2.9760563,23.985456,0.0,0.0,0.20046,0.0008625401
574105,4371211,26.052721,True,76592,0.998173,2.444823,23.094128,0.0,0.0,0.51180667,0.0019631486
574115,4371211,25.009596,True,82926,0.9572373,3.448376,20.991446,0.0,0.0,0.56745726,0.0023186766
574134,4371211,26.992678,True,83175,2.1575394,2.8138607,23.487465,0.0,0.0,0.68924224,0.0021090396
574158,4371211,28.240664,True,81763,0.84758204,2.6179972,25.259502,0.0,0.0,0.3611968,0.001966553
574180,4371211,29.17296,True,85117,1.6774608,2.4420621,26.055782,0.0,0.0,0.6726812,0.0024334304
574205,4371211,23.551964,True,72207,0.8021837,2.8519945,20.455536,0.0,0.0,0.24254733,0.0018856907
574235,4371211,23.460695,True,73614,0.43052647,3.3460824,20.003048,0.0,0.0,0.11143443,0.00013133438
574263,4371211,29.613256,True,86953,1.2811856,2.3965576,26.455187,0.0,0.0,0.75737053,0.004142716
574276,4371211,24.078175,True,75919,0.7821635,3.2321467,20.557156,0.0,0.0,0.2879609,0.000910645
574306,4371211,29.965303,True,85966,0.78992796,2.574272,26.967838,0.0,0.0,0.42050752,0.002685922
574326,4371211,29.029772,True,88089,0.850427,2.2565808,25.71553,0.0,0.0,1.0547403,0.0029191421
574342,4371211,30.603067,True,88158,0.56342703,1.6466806,27.859673,0.0,0.0,1.091622,0.0050930204
574352,4371211,29.364044,True,86133,2.2539427,2.59801,26.160942,0.0,0.0,0.6010307,0.004061177
574363,4371211,28.285849,True,85793,0.49681658,3.3888018,24.689215,0.0,0.0,0.20677282,0.0010583128
574388,4371211,24.514599,True,72397,0.6998535,2.646466,21.644648,0.0,0.0,0.22276437,0.0007217239
574418,4371211,20.462818,True,65685,0.5655821,0.7648355,18.220898,0.0,0.0,1.4724576,0.004627833
574432,4371211,25.902496,True,85135,0.6671434,4.0477047,21.591057,0.0,0.0,0.26214227,0.0015936659
574447,4371211,18.151936,True,51430,0.09818077,1.5289363,16.376057,0.0,0.0,0.24549945,0.0014431565
574464,4371211,18.273695,True,52893,0.29778412,1.6840937,16.327522,0.0,0.0,0.26026547,0.0018132699
574474,4371211,22.688839,True,62162,0.49810335,1.8329439,20.583952,0.0,0.0,0.27132052,0.00062276766
574496,4371211,28.958223,True,85206,2.2767153,2.8679066,25.645256,0.0,0.0,0.44365424,0.0014071846
574504,4371211,28.340284,True,87117,0.4871751,3.4273965,24.57799,0.0,0.0,0.33390126,0.000998498
574522,4371211,25.699842,True,79128,0.36705226,3.0108795,22.401997,0.0,0.0,0.28555316,0.0014130101
574543,4371211,27.872723,True,86938,1.8007324,3.487529,23.93591,0.0,0.0,0.44755977,0.0017245269
574559,4371211,27.214165,True,80693,0.5211239,2.9067016,24.01225,0.0,0.0,0.29402024,0.001192092
574583,4371211,30.10201,True,86206,1.4283818,2.1324694,27.188774,0.0,0.0,0.77803254,0.0027339852
574594,4371211,18.946371,True,61243,0.38371384,2.783174,15.971092,0.0,0.0,0.1918532,0.000251538
574620,4371211,28.599398,True,87771,0.73825806,3.303634,24.87931,0.0,0.0,0.41435653,0.0020952255
574627,4371211,24.66945,True,78268,0.9177583,3.2530646,21.085482,0.0,0.0,0.33013543,0.00076889613
574649,4371211,28.91601,True,83283,0.7896082,2.4545627,25.97034,0.0,0.0,0.48770455,0.003401656
574706,4371211,29.21594,True,84945,0.5255806,2.9193907,25.99208,0.0,0.0,0.3028864,0.0015827889
574725,4371211,29.541534,True,87772,0.5494003,2.2212803,26.422829,0.0,0.0,0.8945754,0.002849456
574735,4371211,26.866606,True,86780,1.747227,3.3347862,22.871675,0.0,0.0,0.65697986,0.003163947
574744,4371211,29.327827,True,85574,1.3332781,2.2889278,26.320704,0.0,0.0,0.7155798,0.0026157368
574758,4371211,27.286877,True,84532,1.5020225,2.763421,23.840862,0.0,0.0,0.6791424,0.003452446
574767,4371211,27.712484,True,87686,0.57343954,2.8284812,24.02287,0.0,0.0,0.8578212,0.0033133028
574776,4371211,28.380144,True,86829,1.2445213,2.817761,24.947058,0.0,0.0,0.6117055,0.0036204488
574787,4371211,26.42972,True,83458,1.0303701,3.4367375,22.68158,0.0,0.0,0.3103062,0.0010955486
574813,4371211,27.596647,True,81571,0.96543515,2.1827767,24.629557,0.0,0.0,0.7823852,0.0019286334
574829,4371211,27.714535,True,84734,1.510059,2.696194,24.37778,0.0,0.0,0.6382441,0.002316007
574854,4371211,28.200832,True,78444,0.27380946,2.2013013,25.603294,0.0,0.0,0.39547578,0.0007613369
574871,4371211,27.911657,True,84545,0.92755413,2.5786376,24.55726,0.0,0.0,0.7721602,0.0035985466
574879,4371211,11.753211,True,31289,0.18427719,0.8554619,10.741431,0.0,0.0,0.15600397,0.00031335623
574903,4371211,29.103607,True,83772,1.2510185,2.171704,26.147797,0.0,0.0,0.7809807,0.0031249167
574913,4371211,29.293625,True,82360,0.68179405,2.655215,26.403112,0.0,0.0,0.23462684,0.00067187037
574928,4371211,29.47591,True,85095,1.747374,2.0446641,26.599276,0.0,0.0,0.82799196,0.0039785947
574940,4371211,27.728287,True,83222,0.73718226,2.0127656,24.77769,0.0,0.0,0.9349679,0.002863117
574948,4371211,27.088404,True,83006,1.3529094,2.8326974,23.684639,0.0,0.0,0.56848353,0.0025841147
574964,4371211,31.363028,True,86531,0.5887069,2.3149788,28.603876,0.0,0.0,0.4422968,0.0018746479
574982,4371211,26.687786,True,79218,0.79781395,3.0585015,23.340343,0.0,0.0,0.28845108,0.00049114175
575001,4371211,27.92235,True,82551,0.65719163,2.182377,24.920769,0.0,0.0,0.8174882,0.0017160575
575014,4371211,28.283592,True,84877,0.29045942,2.9179635,24.840382,0.0,0.0,0.5227221,0.002524962
575032,4371211,28.409842,True,86293,1.019186,2.1858552,25.296915,0.0,0.0,0.9233837,0.0036870018
575045,4371211,30.717434,True,86370,1.0827127,2.221234,27.885962,0.0,0.0,0.60708815,0.0031507665
575051,4371211,27.744314,True,82119,0.89604473,3.2215407,24.398005,0.0,0.0,0.12457609,0.00019292915
575077,4371211,25.703754,True,78290,0.5133485,3.206463,22.227068,0.0,0.0,0.2693921,0.000830752
575093,4371211,26.70686,True,80327,0.7852093,2.9537652,23.512238,0.0,0.0,0.23960309,0.0012538134
575119,4371211,29.333176,True,86150,0.51694775,2.942747,25.99208,0.0,0.0,0.397262,0.0010864554
575131,4371211,24.618177,True,72350,0.53896093,2.4979422,21.817047,0.0,0.0,0.301538,0.0016491462
575148,4371211,27.258343,True,79650,0.6601971,2.5388784,24.340368,0.0,0.0,0.37692398,0.0021721092
575169,4371211,31.089884,True,86979,0.1432189,1.7980632,28.379402,0.0,0.0,0.90795887,0.0044606477
575177,4371211,23.563953,True,64167,1.1833109,1.5491902,21.493986,0.0,0.0,0.5194847,0.0012935656
575193,4371211,27.788164,True,81906,0.73435044,2.6301482,24.76505,0.0,0.0,0.39047703,0.0024867181
575215,4371211,27.55467,True,83167,0.599625,3.1687934,24.135105,0.0,0.0,0.24985659,0.0009138836
575238,4371211,26.778908,True,78200,0.75206786,2.4515045,23.8626,0.0,0.0,0.4621049,0.0026972543
575259,4371211,21.029808,True,65442,0.64440984,2.8289955,18.023724,0.0,0.0,0.17661747,0.00047100938
575289,4371211,26.64215,True,78700,0.24814047,3.0488098,23.455614,0.0,0.0,0.13705598,0.0006715664
575303,4371211,13.219738,True,34036,0.2600499,0.68195844,12.301128,0.0,0.0,0.2350962,0.0015550955
575327,4371211,29.57973,True,85637,1.3946724,2.1693575,26.630116,0.0,0.0,0.7779697,0.0022865385
575339,4371211,26.852442,True,83826,1.1064727,2.1276386,23.628521,0.0,0.0,1.0914173,0.004865563
575347,4371211,27.081163,True,83378,1.5509373,2.8993378,23.58302,0.0,0.0,0.5974851,0.0013210868
575359,4371211,29.91342,True,85596,0.62865883,2.3681498,26.98604,0.0,0.0,0.5544729,0.004758286
575376,4371211,26.92862,True,80593,1.1727122,2.857624,23.730646,0.0,0.0,0.3383131,0.0020366493
575397,4371211,26.236967,True,78295,0.7585454,2.6344593,23.086544,0.0,0.0,0.5137511,0.0022115316
575411,4371211,27.968216,True,85980,1.5363805,3.0709403,24.350986,0.0,0.0,0.5444621,0.0018283641
575421,4371211,30.705667,True,82087,0.34508023,1.2566124,28.54523,0.0,0.0,0.89993894,0.0038865176
575440,4371211,28.934889,True,83665,1.0791304,2.3331676,25.959217,0.0,0.0,0.6405022,0.0020009938
575455,4371211,29.288208,True,86677,0.769495,2.763268,26.060839,0.0,0.0,0.46151206,0.0025896041
575471,4371211,29.424753,True,85910,1.0027391,2.7243867,26.166504,0.0,0.0,0.53178555,0.0020782347
575483,4371211,26.45805,True,81043,2.2783027,2.6779912,23.141148,0.0,0.0,0.6389124,0.0
