,Unnamed: 0,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
644,418911,4371211,244.3559,True,649359,0.113960095,8.876242,228.33707,0.0,0.0,7.1267905,0.015788227,0.0015990380943567797
646,419203,4371211,269.20758,True,669881,0.0,4.4039564,257.21344,0.0,0.0,7.5670456999999995,0.0231148,0.0
647,419301,4371211,205.55649,True,552990,0.0,12.121501,189.81282,0.0,0.0,3.6050231,0.017146343,0.0
648,419428,4371211,238.65186,True,592158,0.0,8.932981,226.14995,0.0,0.0,3.5494442000000004,0.019470386,0.0
649,419575,4371211,200.41612,True,488162,0.0,5.0427413,191.5803,0.0,0.0,3.7753900999999996,0.017695386,0.0
650,419749,4371211,235.92381,True,594493,0.0,5.7915497,224.07356000000001,0.0,0.0,6.033196,0.025501614,0.0
652,420059,4371211,278.38242,True,674101,0.0,5.162935299999999,267.05444,0.0,0.0,6.1391160000000005,0.025895873,0.0
653,420172,4371211,158.15558000000001,True,405196,0.19910602,4.03242,149.6242,0.0,0.0,4.480739,0.018212507,0.00444359780830796
656,420550,4371211,263.74567,True,634105,0.0,6.81002,252.5379,0.0,0.0,4.372294999999999,0.025455723,0.0
657,420658,4371211,230.69446000000002,True,620778,0.05153964,8.549614,215.07484,0.0,0.0,7.051035400000001,0.018967316,0.0007309513720495574
659,420924,4371211,215.96648,True,559068,0.059243362,7.116275,203.14127,0.0,0.0,5.681998,0.0269305,0.001042650173407312
660,421031,4371211,152.19008,True,423196,0.22157326,6.748879,140.39243000000002,0.0,0.0,5.032815,0.015965357,0.0044025711257020175
661,421134,4371211,265.29318,True,631058,0.0,6.053986,254.9323,0.0,0.0,4.281803599999999,0.02508999,0.0
662,421312,4371211,237.02143999999998,True,622331,0.0056283963000000005,8.180794,222.3455,0.0,0.0,6.4741654,0.02096474,8.693624509500485e-05
663,421450,4371211,220.69691,True,589629,0.029167877999999998,10.020908,205.17468,0.0,0.0,5.4847097,0.016609592,0.0005318034972753435
664,421568,4371211,195.9577,True,516439,0.0,8.14894,183.28484,0.0,0.0,4.505676,0.018255088,0.0
665,421711,4371211,239.20677,True,627164,0.0750319,6.975841,224.85012999999998,0.0,0.0,7.3567967,0.024009256,0.0010198990547067857
666,421835,4371211,183.25171,True,514185,0.347051,11.198908,166.9912,0.0,0.0,5.05018,0.011429415,0.006872052085272209
667,421956,4371211,99.66084000000001,True,257261,0.0,3.2710453999999998,93.84116,0.0,0.0,2.5380387000000004,0.010594087,0.0
668,422109,4371211,243.52881000000002,True,586392,0.003912745,7.658973700000001,232.6931,0.0,0.0,3.1508865000000004,0.025856659,0.000124179179415063
669,422231,4371211,197.2683,True,511415,0.07801422,8.400628999999999,184.78893,0.0,0.0,4.0589319999999995,0.019810386,0.0019220381124887042
671,422551,4371211,219.66212000000002,True,558476,0.0,6.5765033,207.7506,0.0,0.0,5.3168296999999995,0.018202618,0.0
672,422662,4371211,167.59433,True,449518,0.11596079,10.116399000000001,154.69916,0.0,0.0,2.7625458,0.016216158999999997,0.004197606063218934
673,422831,4371211,225.81883,True,569623,0.49367089999999997,7.434748,213.59098999999998,0.0,0.0,4.774843700000001,0.01826039,0.010338996017817292
675,423110,4371211,235.11206,True,564002,0.0,8.117625,224.44365,0.0,0.0,2.5220067999999998,0.028783282,0.0
676,423282,4371211,248.46872000000002,True,632753,0.0,8.801795,234.38727999999998,0.0,0.0,5.2536836,0.025960075,0.0
677,423387,4371211,224.18572999999998,True,611816,0.21259671,9.198672,207.86333,0.0,0.0,7.107464299999999,0.01625492,0.0029911752071691733
679,423657,4371211,233.91501,True,561065,0.0,5.5727253,224.28691,0.0,0.0,4.031208,0.024157226,0.0
680,423804,4371211,221.88727000000003,True,588024,0.0,7.6354604,207.7157,0.0,0.0,6.5116,0.024495872000000002,0.0
682,424043,4371211,147.6505,True,374872,0.0,3.6029263,140.01526,0.0,0.0,4.017238,0.015071443,0.0
683,424152,4371211,202.54344,True,552416,0.06094535400000001,6.2464294,188.80016,0.0,0.0,7.4746809999999995,0.022181671,0.0008153572573866364
685,424362,4371211,274.4775,True,647090,0.0,4.8279543,264.77887000000004,0.0,0.0,4.840052,0.030641071000000002,0.0
686,424485,4371211,213.10698,True,611654,0.45693168,8.461654,195.31245,0.0,0.0,9.314665,0.018207226,0.004905508464340908
688,424725,4371211,229.55393999999998,True,637437,0.10486185,7.703025299999999,212.7588,0.0,0.0,9.069025,0.023085786,0.0011562637659505847
689,424803,4371211,235.85869,True,602834,0.0,5.327042,223.43198999999998,0.0,0.0,7.069586800000001,0.03007674,0.0
691,424986,4371211,211.1557,True,615250,0.5822486,7.9252256999999995,193.27448,0.0,0.0,9.939006,0.016992526,0.005858217612505719
692,425061,4371211,192.53519,True,487540,0.002617121,8.708577,181.1953,0.0,0.0,2.6133463,0.01795726,0.00010014443933435075
693,425185,4371211,194.57176,True,500978,0.0800687,9.4406185,182.17712,0.0,0.0,2.9408727000000003,0.013142886000000001,0.0027226169973287185
694,425337,4371211,163.41278,True,370462,0.0,3.1443694,158.54153,0.0,0.0,1.7094502,0.017435288,0.0
696,425605,4371211,251.84458999999998,True,627361,0.0,5.814646,239.99208,0.0,0.0,6.0153165,0.022555888,0.0
698,425836,4371211,193.92203,True,577274,0.13910772,16.18662,172.57222,0.0,0.0,5.1393775999999995,0.023803324,0.0027067036288596505
699,425940,4371211,207.7053,True,550515,0.0,10.782987,192.89732,0.0,0.0,4.00825,0.01674769,0.0
700,426086,4371211,211.98715,True,558375,0.11519158,10.162873,197.46468000000002,0.0,0.0,4.3448286,0.01476487,0.0026512341591564746
