,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
702405,4371211,4.975031,True,12591,0.348879,4.6133657,0.0,0.0,0.012626802,0.0001597869
702407,4371211,5.0672426,True,13539,0.4301976,4.624488,0.0,0.0,0.012429303,0.0001278379
702411,4371211,5.5957875,True,12627,0.1115309,5.425318,0.0,0.0,0.058811203,0.00012750186
702419,4371211,5.5951686,True,14216,0.30575094,5.237244,0.0,0.0,0.05204632,0.0001271957
702420,4371211,5.088508,True,13129,0.33630013,4.7180195,0.0,0.0,0.03409246,9.607609e-05
702431,4371211,5.2866774,True,14174,0.4490502,4.823179,0.0,0.0,0.014341573,0.00010668192
702437,4371211,4.773171,True,14043,0.5753567,4.160371,0.0,0.0,0.03729573,0.00014775447
702438,4371211,5.112269,True,13151,0.35232013,4.7453203,0.0,0.0,0.0144651765,0.00016335296
702458,4371211,4.9224806,True,13621,0.46591645,4.44602,0.0,0.0,0.010426279,0.000117715084
702470,4371211,5.2051535,True,14029,0.47158584,4.7225695,0.0,0.0,0.010865186,0.0001330033
702472,4371211,5.456739,True,13971,0.39682126,5.0476537,0.0,0.0,0.012181184,8.295613e-05
702474,4371211,5.158647,True,13539,0.40964627,4.738242,0.0,0.0,0.0106457565,0.00011280425
702479,4371211,5.1618333,True,13475,0.36982602,4.7630153,0.0,0.0,0.028892685,9.924919e-05
702483,4371211,4.2003264,True,13826,0.6656841,3.4995854,0.0,0.0,0.034914743,0.00014224755
702486,4371211,5.635388,True,14067,0.28179058,5.293363,0.0,0.0,0.06009119,0.00014337034
702488,4371211,5.2704134,True,14134,0.4575846,4.7963834,0.0,0.0,0.016291311,0.00015423214
702490,4371211,5.2450776,True,14011,0.37455076,4.820145,0.0,0.0,0.050276347,0.00010516545
702501,4371211,4.365676,True,12041,0.4129,3.9424684,0.0,0.0,0.010169881,0.00013770154
702511,4371211,5.112654,True,13306,0.17001179,4.8034616,0.0,0.0,0.13882749,0.00035359155
702513,4371211,5.4914823,True,13116,0.23294088,5.2144933,0.0,0.0,0.043949272,9.9005505e-05
702531,4371211,5.2444334,True,11998,0.21575826,5.0163083,0.0,0.0,0.012220455,0.00014651201
702534,4371211,5.036375,True,13635,0.43346754,4.589098,0.0,0.0,0.013717065,9.2483184e-05
702539,4371211,5.5937004,True,14168,0.35586554,5.208932,0.0,0.0,0.028775034,0.00012770161
702560,4371211,4.9992595,True,13797,0.4810748,4.5041614,0.0,0.0,0.01391199,0.00011127688
702561,4371211,5.2952585,True,14020,0.3776694,4.8600855,0.0,0.0,0.057376284,0.00012721326
702562,4371211,5.1042166,True,13812,0.4659043,4.6275215,0.0,0.0,0.010704208,8.673864e-05
702571,4371211,5.786969,True,13987,0.274293,5.4905367,0.0,0.0,0.02201436,0.00012482649
702574,4371211,5.0067306,True,13871,0.42195803,4.52944,0.0,0.0,0.055234928,9.724733e-05
702577,4371211,3.989643,True,10082,0.25934505,3.7190046,0.0,0.0,0.011159364,0.00013410517
702584,4371211,5.1248827,True,13684,0.39429477,4.6988077,0.0,0.0,0.031650454,0.00013000071
702590,4371211,5.105146,True,12973,0.37372163,4.7190304,0.0,0.0,0.012262405,0.00013142463
702601,4371211,3.8883271,True,9147,0.1302802,3.722038,0.0,0.0,0.035901267,0.000107668086
702604,4371211,4.988746,True,12835,0.33653972,4.6093206,0.0,0.0,0.042719916,0.00016550765
702606,4371211,5.0805416,True,13793,0.4680212,4.5997148,0.0,0.0,0.012694552,0.00011067025
702625,4371211,4.1677766,True,12483,0.51840484,3.619912,0.0,0.0,0.02936744,9.2461036e-05
702641,4371211,4.8870683,True,13788,0.5018314,4.364117,0.0,0.0,0.02101308,0.00010650731
