S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
3.273320335,7.18893536,173.9451193,2,11.146048,11.146048,0.869586768,15.78101413,187,3.140709533,0.662993431,0.08879,151.055812,194.7981278,348118
1.452212178,2.414904162,67.0211166,2,10.743963,10.743963,0.548871412,6.468328559,179,1.535586345,0.85947144,0.03967,99.78467357,110.4667195,371170
0.825054892,1.998260504,67.84144109,2,10.877368,10.877368,0.707236416,10.81023688,659,0.744577259,0.771187425,0.02881,130.0126259,138.5803502,371633
2.095086106,5.441094687,109.1457285,0,11.341434,11.341434,0.333515116,15.16280398,270,1.703536175,0.947163105,0.07124,264.4439139,275.475913,372123
1.28152674,3.242682286,76.16741589,1.5,10.808546,10.808546,0.736570322,6.71312316,88,1.268291112,0.752861381,0.05559,164.9294197,173.5005796,373105
2.128653246,3.891020812,96.82259762,3,10.433893,10.433893,0.782919993,11.56642127,297,1.539534934,0.722757936,0.05126,79.21606251,104.701921,376478
2.643613997,5.554356186,112.4780174,2,11.085173,11.085173,0.566996196,14.58159516,144,2.714953038,0.850330472,0.10691,143.8325059,164.3576648,376679
1.9835882,3.392869964,89.80476528,2.5,10.592953,10.592953,1.349418257,10.06525549,77,1.93589435,0.293741971,0.0554,93.97273883,113.416593,382731
1.855070208,3.189725751,137.5757951,2.5,10.425548,10.425548,0.600831134,13.69749551,374,1.631389159,0.832579017,0.05373,77.32409753,124.2681204,386898
1.624464177,4.487211744,90.60978887,2,10.628283,10.628283,1.275776022,8.36806754,75,1.683823588,0.348079473,0.0512,162.3237273,174.5109148,417441
1.249028011,2.9429348,97.10626347,2,10.617328,10.617328,0.692786231,7.749904967,437,0.923502377,0.779999971,0.0285,140.9783919,156.8110971,422649
1.58335281,3.397420523,151.2389736,2,10.763924,10.763924,0.813859993,9.714549008,640,0.988264557,0.701919794,0.02508,114.4196325,156.6156629,460374
1.6299685,2.698687698,66.07440521,3,9.73198,9.73198,0.439768364,6.68204718,489,1.337938318,0.90884757,0.02469,70.17906902,84.30904602,463288
2.317560234,5.128715329,155.9955612,2,10.872426,10.872426,0.824502991,10.02169234,225,0.990189019,0.69462049,0.04993,114.2901872,158.8381391,463668
3.237708185,5.806669651,126.4689292,1.5,10.208273,10.208273,0.586891026,9.645891449,204,1.219702437,0.839999974,0.05608,67.91386975,112.2919798,485504
