,S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
86,2.213954171,3.914873809,119.82792509999999,2.5,10.146114,10.146114,0.460170611,8.619627455,443,0.624526273,0.900368452,0.033760000000000005,59.79375238,103.7046703,240227
87,2.735097505,5.229823313,209.3847892,2.0,11.370809,11.370809,0.9597130890000001,22.705821899999997,393,2.2068168480000003,0.596679986,0.07848,127.4098223,195.3311491,251887
89,1.216804794,2.752989645,115.63072290000001,2.0,10.519971,10.519971,1.3004251690000002,8.548893584,224,1.096670834,0.32936778699999997,0.028789999999999996,92.16256166,123.20377350000001,278390
94,2.2812499330000002,5.94997807,147.00984430000003,2.0,11.176006,11.176006,1.242877599,14.01989416,104,1.97120718,0.373606741,0.07812000000000001,172.6008431,201.4869678,288851
95,1.248140547,2.1574706740000003,61.54940815,2.5,9.838366,9.838366,0.928597791,4.271810945,204,0.834228216,0.620000005,0.02033,47.77910619,64.62977495,288904
96,0.647304622,1.7906580140000001,58.41180773,2.0,10.389650999999999,10.389650999999999,0.7759792109999999,6.890131584,490,0.500328429,0.7273525,0.01934,98.84140482,107.12419399999999,288992
97,1.528238648,4.813228968,127.33021049999999,1.0,10.638593,10.638593,0.8458256140000001,3.18686577,147,1.38478412,0.679802001,0.01642,191.2749117,211.406204,289089
99,1.32747837,3.582983108,114.36521200000001,1.5,10.722371,10.722371,0.990704162,6.042071696,277,1.035310914,0.573060334,0.01876,146.19187659999997,167.0681467,289097
100,2.245957797,3.91761739,112.9853217,2.5,10.430287,10.430287,0.74915233,9.966126018999999,200,1.38046324,0.74482584,0.054979999999999994,80.41561812,113.3556929,297633
102,1.072931279,2.454641931,72.96171912,2.5,10.165906,10.165906,1.200929307,7.420793765,217,0.71386521,0.406754255,0.027999999999999997,70.27177013,87.17699184,298666
104,0.9818606440000001,3.5190556589999997,71.04410736,1.5,10.708693499999999,10.708693499999999,0.981648457,4.795856722,58,0.931711974,0.579999983,0.04216,174.13672150000002,181.2380489,301191
106,2.208647533,4.308129388,120.6577628,1.5,11.21621,11.21621,1.029923647,15.39274233,159,2.251589881,0.542680025,0.08217999999999999,190.7110552,208.92547580000002,319299
108,3.917500027,6.3438953510000005,314.15212369999995,2.0,10.951705,10.951705,0.46484089700000003,17.39469171,528,1.502316227,0.898377836,0.06287999999999999,109.15876999999999,247.51043509999997,323504
109,1.336918625,2.4901904740000003,131.4179226,2.5,10.482363000000001,10.482363000000001,0.623517871,10.15083762,393,0.835429718,0.820185542,0.04093,81.96891009999999,123.9122166,323855
110,2.301686219,5.500346389,128.9853994,2.0,10.994728,10.994728,0.672972925,7.697721184,127,2.051211683,0.791846633,0.05535,156.75242219999998,181.35583390000002,325007
111,2.224218491,3.781762835,76.15936094,2.5,10.118468,10.118468,1.046115731,8.657576713,117,2.066642498,0.5299999710000001,0.052570000000000006,79.89926634,96.35360342,325533
112,3.273320335,7.18893536,173.94511930000002,2.0,11.146048,11.146048,0.869586768,15.78101413,187,3.1407095330000003,0.662993431,0.08879,151.055812,194.7981278,348118
113,1.4522121780000001,2.414904162,67.0211166,2.0,10.743963,10.743963,0.548871412,6.468328559,179,1.535586345,0.85947144,0.03967,99.78467357,110.46671950000001,371170
114,0.825054892,1.998260504,67.84144109,2.0,10.877367999999999,10.877367999999999,0.707236416,10.81023688,659,0.744577259,0.771187425,0.028810000000000002,130.01262590000002,138.5803502,371633
116,1.28152674,3.2426822860000004,76.16741589,1.5,10.808546,10.808546,0.736570322,6.71312316,88,1.268291112,0.7528613809999999,0.05559,164.92941969999998,173.50057959999998,373105
118,2.6436139969999997,5.554356186000001,112.47801740000001,2.0,11.085173,11.085173,0.5669961960000001,14.58159516,144,2.714953038,0.850330472,0.10690999999999999,143.8325059,164.3576648,376679
119,1.9835881999999998,3.392869964,89.80476528,2.5,10.592953,10.592953,1.349418257,10.06525549,77,1.93589435,0.293741971,0.0554,93.97273883,113.41659299999999,382731
120,1.855070208,3.189725751,137.5757951,2.5,10.425548,10.425548,0.600831134,13.69749551,374,1.631389159,0.832579017,0.05372999999999999,77.32409753,124.26812040000002,386898
121,1.624464177,4.487211744,90.60978887,2.0,10.628283,10.628283,1.275776022,8.36806754,75,1.683823588,0.348079473,0.0512,162.3237273,174.5109148,417441
122,1.249028011,2.9429347999999997,97.10626347,2.0,10.617328,10.617328,0.6927862309999999,7.749904967000001,437,0.923502377,0.779999971,0.0285,140.9783919,156.81109709999998,422649
123,1.58335281,3.397420523,151.2389736,2.0,10.763924000000001,10.763924000000001,0.813859993,9.714549007999999,640,0.988264557,0.701919794,0.02508,114.41963249999999,156.6156629,460374
125,2.317560234,5.128715328999999,155.9955612,2.0,10.872425999999999,10.872425999999999,0.8245029909999999,10.02169234,225,0.9901890190000001,0.69462049,0.04993,114.29018719999999,158.83813909999998,463668
126,3.237708185,5.806669651,126.46892920000002,1.5,10.208273,10.208273,0.586891026,9.645891449,204,1.219702437,0.839999974,0.05608,67.91386975,112.2919798,485504
127,2.086196598,5.123406459,121.1540497,2.5,10.697764,10.697764,0.993931703,8.294877926,102,1.290011781,0.570579767,0.056139999999999995,99.95781762,131.6461818,485834
129,2.0420718509999998,4.9584267330000005,109.5319194,2.0,10.285814,10.285814,0.821824795,8.876070985,163,1.072586357,0.696463466,0.05189,95.98349925,123.3347186,485919
130,1.979690713,3.570589683,152.6412223,2.0,10.533024000000001,10.533024000000001,0.557628097,19.21063415,395,1.712269164,0.855087578,0.08337,83.83659490000001,136.66837969999997,486957
131,1.610790217,3.1501193030000003,73.61288586,2.5,9.66263,9.66263,1.109604132,5.187709534,141,1.3131800809999998,0.47970587,0.02646,77.20263817,93.11109398,487019
134,2.195431223,4.925276491,175.7072354,2.0,10.923744000000001,10.923744000000001,0.705365847,11.17154365,400,1.477877144,0.7723363040000001,0.04281,159.246532,201.9801333,505788
135,1.246562184,3.576584735,108.7956192,2.0,10.801145,10.801145,0.574653829,10.52737635,263,1.063492903,0.846390724,0.05392,132.0746078,152.8461494,508351
136,2.031882514,4.582249654,99.71899848,2.5,10.261902000000001,10.261902000000001,1.0925266120000001,8.670303437000001,105,1.375807957,0.49330651799999997,0.053470000000000004,83.18553763,109.04940619999999,508352
138,2.01740622,4.7616007389999995,127.2361488,2.5,10.689131,10.689131,0.903071092,10.1134969,174,1.215390162,0.6388066410000001,0.055020000000000006,100.6335427,134.9875131,511867
139,1.9308962269999999,3.9152649989999997,113.824574,2.5,10.483365,10.483365,0.78706488,9.672897646000001,220,0.875166708,0.7199999690000001,0.04978,73.73334859,109.1541274,514029
140,1.73551998,6.042690123,123.8054827,2.0,10.895506,10.895506,0.693763427,6.343141472,98,1.127496509,0.7794085740000001,0.05005,191.1198655,210.2158457,516973
143,2.315778904,4.387243824,88.84684876,2.5,10.379850999999999,10.379850999999999,0.8311913259999999,9.506761517000001,144,1.6213063909999998,0.689999998,0.05861,73.67373273,96.82303529,521991
144,1.5661917969999999,2.789166764,140.4056978,2.5,10.306777,10.306777,0.48404444399999996,11.16825095,737,0.65641186,0.889999986,0.0286,71.49087693,122.34306470000001,534753
145,1.011452995,2.354330572,50.92039155,2.5,10.181461,10.181461,0.657798036,5.572578791000001,139,0.949584387,0.8007314209999999,0.036910000000000005,73.03622394,81.42931379,536625
146,0.913154182,2.529588297,91.49783547,1.0,10.971513999999999,10.971513999999999,1.00851521,7.99702947,177,0.893752707,0.559326112,0.04004,175.2852568,186.84444919999999,537084
148,2.8284795839999997,7.185333602,156.6956666,2.0,10.801093,10.801093,0.870729944,9.250696761,282,1.142354064,0.662177145,0.03966,149.40563600000002,186.0075537,537361
149,1.918646325,5.262249508,108.9065828,2.0,10.640357,10.640357,0.913658238,7.2928479920000004,170,1.079514699,0.631043792,0.03943,120.8682828,143.3159575,537426
151,2.0049945780000002,4.353877808,174.919716,2.0,10.897876,10.897876,1.069509302,12.258533199999999,403,1.2865414179999999,0.511561751,0.03791,128.39664969999998,178.28110719999998,543998
152,1.625950288,4.384248685,157.5559154,1.0,10.931761,10.931761,0.900526377,5.0852941430000005,121,1.710406179,0.6406644579999999,0.03032,215.29945550000002,242.41656040000004,544749
153,1.528005511,3.8469573539999997,93.84942891,2.5,10.437382000000001,10.437382000000001,1.115911256,6.1718675229999995,213,0.613164618,0.47467351,0.0253,84.12668833,107.15016259999999,544958
156,2.6594191780000003,4.646846032,174.59385469999998,2.0,11.08648,11.08648,0.7734511159999999,20.14318084,331,1.9367007840000001,0.7290185690000001,0.0878,110.47869440000001,165.6715092,551507
158,1.385109999,3.921885617,121.3635469,1.5,11.211771,11.211771,0.629027044,17.48159435,489,1.1698031359999999,0.817117572,0.0626,216.3638863,232.7614369,560883
159,1.353742281,3.7677849919999997,124.4276892,2.0,10.892035,10.892035,1.197556394,9.309219706,226,1.332633387,0.40943837200000005,0.03487,151.7522039,175.4133869,561020
160,1.765803064,3.970269032,136.4088401,2.0,10.868530999999999,10.868530999999999,0.857365501,11.50303084,261,1.767934939,0.671676755,0.05269,126.8943945,159.39219930000002,567545
161,0.991663821,1.8140939759999999,52.287085999999995,2.5,10.334010000000001,10.334010000000001,0.5225079779999999,5.377137817,240,0.9806097290000001,0.872299433,0.02822,73.95705577,82.68383022,572402
163,2.1200875,4.756199626,147.97204530000002,2.0,10.656792999999999,10.656792999999999,0.706257413,10.04263382,247,1.254495559,0.7717890140000001,0.0504,113.88017669999999,154.6497906,585386
166,1.24496922,2.516824989,86.98358879999999,2.5,10.720676,10.720676,0.513958135,17.15547015,645,0.952757477,0.876338959,0.05297,78.05734119,99.37817102,599582
167,2.454003508,4.472434968,192.7499632,2.0,10.8901005,10.8901005,0.469098801,12.28055662,387,1.4103965440000001,0.89654696,0.053279999999999994,102.7537077,170.68860130000002,599761
169,3.382522453,5.7940810879999995,157.0833929,2.5,10.27586,10.27586,0.506097762,8.172749082000001,184,1.776054316,0.880000055,0.050960000000000005,69.17826336,130.8557537,600026
170,2.0878756419999998,5.60788218,161.43048430000002,2.0,10.942109,10.942109,1.026573959,10.42478682,149,1.7943767469999998,0.545293868,0.05665,145.86797030000002,185.2224754,601255
171,1.782175179,3.291412287,112.92997350000002,2.0,10.708886999999999,10.708886999999999,0.511114871,14.85577624,497,0.949948172,0.877669096,0.05404,88.39615276,119.12375619999999,601323
174,1.458928002,3.435642809,111.3485442,2.0,10.510836,10.510836,0.914617606,7.930316695,565,0.784652942,0.630337715,0.0211,101.0062087,128.06835420000002,611220
175,1.802536347,3.772260006,87.15312933,2.0,10.230475,10.230475,0.7480881079999999,10.13463427,238,1.086064395,0.745509505,0.051,86.08696645,105.87161929999999,618116
176,1.932413931,4.762235597,158.5014975,2.0,10.922445,10.922445,0.9435148409999999,12.44875606,257,2.266851054,0.608872175,0.05445,161.2183615,196.348472,618993
178,2.3682992130000002,4.179369252,152.1474958,2.0,11.104847999999999,11.104847999999999,0.337071875,17.09667021,395,1.8642003759999999,0.946042299,0.07774,96.60873971,144.5948783,621988
179,2.14471034,5.2651609210000005,122.84086709999998,2.0,10.887788,10.887788,0.603436039,10.2208945,212,1.199346766,0.831175804,0.05814,156.5955343,179.0728921,622228
180,2.25419269,5.918294997,126.9378351,2.0,10.628877000000001,10.628877000000001,0.8203015490000001,6.436654607,126,1.067599812,0.697509825,0.04265,123.09775890000002,152.3471865,622305
181,3.062632565,6.70069582,153.5312734,2.0,10.612382,10.612382,0.41628823,8.552366328,197,1.385932366,0.9181648490000001,0.0524,117.977497,160.32659089999999,622694
182,1.5078765280000002,2.840293483,107.87785600000001,2.0,10.500202,10.500202,0.323720956,10.56670476,489,1.056023299,0.950190544,0.03936,77.65688796,108.8549868,623144
183,3.1137822269999997,5.716851427000001,198.0376924,2.0,10.481114999999999,10.481114999999999,0.502072515,10.11922897,478,1.0707193659999998,0.881855249,0.03809,112.5765582,179.6745538,623432
185,1.893850433,4.226724795,98.46769274,2.5,10.3622675,10.3622675,0.621798841,6.302734301,267,0.751143235,0.821138203,0.030660000000000003,84.40893089,109.42034029999999,3895257
190,3.7138040130000003,9.001968976,193.1873436,1.0,11.1406446,11.1406446,1.035340759,11.49813599,151,2.818567902,0.538446009,0.05719,218.82863230000004,257.9663645,9008500220
191,1.810148544,3.113251247,156.3824304,2.0,10.65350597,10.65350597,0.767417984,16.27233143,546,0.949149424,0.7329783440000001,0.052779999999999994,77.44147347,134.99968180000002,9008500268
192,2.968900739,5.667963845,141.33026850000002,2.0,10.54117549,10.54117549,0.833917115,9.82129006,169,1.827482214,0.688109636,0.05716,92.50289467,136.1760181,9008500316
193,2.479268092,4.206263517,122.31916329999999,1.5,11.04151341,11.04151341,1.163914978,10.67551527,134,2.896350497,0.436292589,0.05449,157.364147,179.56743480000003,9008500511
194,2.042025009,4.042852402,104.0893545,2.0,10.77187964,10.77187964,0.49552694399999997,11.85863518,346,1.231935753,0.884843528,0.054229999999999993,78.39627129,107.53265649999999,9008500673
195,1.82877832,4.2419625860000005,89.68058612,2.0,10.43187141,10.43187141,1.01211972,7.444990016,94,1.615370345,0.556533575,0.05076,93.54589711,113.01388689999999,9008500701
196,1.922993023,4.97117643,115.82896000000001,1.5,10.89273058,10.89273058,0.735230532,10.57023813,227,0.7506926629999999,0.7537109259999999,0.054920000000000004,110.0863125,137.21213569999998,9008500724
199,2.723385056,6.715817303,180.3236434,2.0,11.18251902,11.18251902,1.018632288,8.767488831,138,2.8742981939999996,0.551477432,0.049819999999999996,200.4699425,237.5847344,9011900030
200,2.079536601,6.643352762999999,142.84892319999997,1.0,10.8944829,10.8944829,1.05169521,5.517390355,83,1.925664275,0.525614381,0.03907,189.64001230000002,214.86330930000003,9011900048
201,2.23555029,4.32217174,222.17567819999996,2.0,10.84383941,10.84383941,0.597122951,10.49839436,387,1.9672186130000002,0.8345676059999999,0.04345,144.53165980000003,213.4722855,9011900147
204,1.037470099,3.052653895,67.44608041,1.5,10.67708898,10.67708898,0.9337306879999999,6.246503149,80,1.127972585,0.6161820889999999,0.043230000000000005,126.4902897,135.18239630000002,9011900265
205,1.6458118380000002,4.848149953,110.4630318,1.0,10.75789947,10.75789947,0.696839729,8.134710837,163,1.159216506,0.777542472,0.048510000000000005,143.4973184,163.37845969999998,9011900279
208,1.8720321340000001,3.41071295,84.98665653,2.0,10.49545205,10.49545205,1.078059504,7.819971685,114,1.3158146290000001,0.504792213,0.04718,81.47125699,101.2370071,9011900441
210,4.229611506,7.372306329,211.11574269999997,2.0,10.31816106,10.31816106,0.428863361,9.213928085,224,1.5942804240000001,0.9132338759999999,0.05331,104.5669782,182.2612996,9011900519
211,1.485829654,3.2476644869999998,66.21449738,2.0,10.75314763,10.75314763,0.9265238840000001,12.83367719,434,1.2400105129999999,0.621539235,0.04331,107.12811359999999,116.91284170000002,9011900521
213,1.352340471,3.105625397,75.15652555,1.0,10.83335612,10.83335612,0.49299484,9.391571141,295,1.185684472,0.885990024,0.04501,126.4485384,137.1622562,9011900680
215,1.256166258,2.5250920409999997,83.88967942,2.0,10.90868217,10.90868217,0.86640501,8.585341617000001,170,1.4422417230000002,0.665261745,0.044680000000000004,133.3458028,145.94465480000002,9016800008
217,4.295335088,7.975635802999999,204.06666090000002,2.0,10.8488002,10.8488002,0.53739769,12.06932182,419,1.6482547019999998,0.865123034,0.04363,116.50589599999999,185.4594965,9016800089
218,2.41599216,4.597230682,130.5036865,2.0,10.42021867,10.42021867,0.873774323,9.711168288,244,1.172048667,0.6599999670000001,0.04515,77.71772567,120.64680259999999,9016800093
219,1.2322397170000001,2.367168296,112.4208852,2.5,10.46248604,10.46248604,0.708624378,12.7469799,561,0.7324116890000001,0.770333409,0.041030000000000004,77.13405585,110.7650229,9016800109
222,1.960666061,5.401077733999999,147.98701369999998,2.5,10.74403605,10.74403605,0.7868489390000001,7.16195498,170,1.400556876,0.7201439140000001,0.04145,181.3184098,209.3476626,9016800318
223,2.056474642,4.823897411,123.4090602,2.0,10.84342959,10.84342959,1.0353766420000001,10.89591109,258,1.352647114,0.538417935,0.044219999999999995,116.71163,145.7274945,9016800343
224,1.7702351790000002,3.3720402330000003,116.20175719999999,2.0,10.67138845,10.67138845,0.566658165,15.92182887,559,1.525246285,0.850503325,0.04315,114.6065466,141.01802980000002,9016800559
225,1.406648165,2.514845969,90.11696335,1.0,10.8063156,10.8063156,1.022477803,5.991638612999999,66,1.7408959880000001,0.5484856370000001,0.0484,178.6472267,189.67173,9044200015
